,tweets,label,agreement
63,measles outbreak prompt vaccination debate political debate rage measles outbreak spread,0.0,1.0
64,people need get child vaccinated bad disease coming back,1.0,1.0
65,vaccine brain damage cover implodes discussing,-1.0,1.0
66,vaccine childrens clinic,0.0,0.6666666666666666
67,know get infected measles airborne transmission wtf,0.0,1.0
68,access fitchburg school limited amid measles scare read neighbor,0.0,1.0
69,deadly kid allergy joke deadly child measles vaccinate every,1.0,1.0
70,measles,0.0,0.6666666666666666
71,topic make scared bring kid modern society time start looking private school mandate vaccine,1.0,1.0
72,stop blaming first diseasesbrought ancestor,1.0,0.6666666666666666
73,already cure measles,0.0,1.0
74,cant attend school unless vaccinated,0.0,1.0
75,dont vaccinate child shitty parent end story,1.0,1.0
76,citizen kingdom god assignment diplomatic immunity fear man,0.0,1.0
77,top colorado doctor say adult worried measles get vaccination measles outbreak,1.0,1.0
78,nah idiot someone doesnt allow kid vaccinated,1.0,1.0
79,kid need vaccination late thcentury map show measles mortality vaccine,1.0,1.0
80,measles fear spread nj amid suspected case,0.0,1.0
81,baby vaccination day shes getting measles one early fuckwits chicago dont vaccinate ensuring problem,1.0,1.0
82,loving measles poster making spirit today,0.0,1.0
83,baseball coach santa monica high contract measles,0.0,1.0
84,im sick hearing people vaccinating child sick hearing people freedom insane dangerous thing,1.0,1.0
85,one risky childrena vaccination going get school car,0.0,0.6666666666666666
86,odds kid measles us lab room,0.0,1.0
87,parent refuse get kid immunized charged reckless endangerment kid get another sick,1.0,1.0
88,rt vaccination measles medicaid expansion,0.0,1.0
89,center disease control year flu vaccine doesnt work,-1.0,0.6666666666666666
90,ty fought hard vaccinate kid yr ppls judgement dont get hurt get smart,-1.0,0.6666666666666666
91,vaccinate people tarrant county case five denton co traced megachurch,1.0,0.6666666666666666
92,hb new providing health insurance coverage immunization administered pharmacy pharmacist,0.0,0.6666666666666666
93,a new revise codifies schedule childhood lead screening along immunization wellness,0.0,0.6666666666666666
94,friday immunity challenge walking backwards safe time sure watch back,0.0,0.6666666666666666
95,s healthnut parent didnt vaccinate childhood like,1.0,0.6666666666666666
96,people complain live longer releasing tension increase immunity improves overall health well good news,0.0,1.0
97,austerity vaccine crisis parasite pandemic potential drain life killing slowly,0.0,1.0
98,compensation autism brain damage illness vaccine court via,0.0,0.6666666666666666
99,seek bear w see state ppls heart,0.0,0.6666666666666666
100,conservative neurosurgeon ben carson say vaccine public health issue thing agree,-1.0,0.6666666666666666
101,measles case confirmed plano isd school,0.0,1.0
102,youre reason people think vaccine cause autism,1.0,1.0
103,mmr studio,0.0,1.0
104,bdnwz measles kiddie party thing gdnwz misinformed arrogant parent year award,1.0,1.0
105,ok whats good u say politics border wide open vaccine killing kid devaluation,-1.0,1.0
106,news measles case four month england jenny mccarthy visited lately,0.0,0.6666666666666666
107,three baby cured hiv given vaccine birth via,0.0,0.6666666666666666
108,want shot autism juicei mean measles vaccine,-1.0,1.0
109,let use ebola step say dangerous kill thousand also,1.0,0.6666666666666666
110,million child autismvaccine link,1.0,1.0
111,go get ryno middle school vaccination big shot tot ouachita parish health unit,1.0,1.0
112,dont bring measles ampamp ebola shit baltimore,0.0,0.6666666666666666
113,vaccine truth,0.0,0.6666666666666666
114,hell yeah think think baby immunity something,0.0,0.6666666666666666
115,measles may hit wisconsin dammit,1.0,1.0
116,still feel bad please dont scared,1.0,0.6666666666666666
117,schumer want measles vaccine accessible,1.0,1.0
118,yet way immunize give measles vac rare case cause brain damage believe caused autism,-1.0,0.6666666666666666
119,treat people obtained disease also provide vaccination reside area,1.0,1.0
120,new bexar co district attorney nico lahood vaccination cause autism brian chasnoff,-1.0,1.0
121,vaccine scare lead measles epidemic uk,0.0,1.0
122,marketing message antivaxers focus weak amp sick risk amp cant vaccinate dont focus fact,1.0,0.6666666666666666
123,article rted u choose get vaccinated youre ignorant dont even give whole cause autism,1.0,1.0
124,literally matter there way mine could low blizzard bad mmr,0.0,1.0
125,hope get measles,0.0,1.0
126,last vaccine aurora health care occupational health,1.0,1.0
127,kid night earthfare time watch parent douse everything little angel touch sanitizer preventing immunity,0.0,1.0
128,vaccine injure ten thousand,-1.0,1.0
129,important vaccinate care baby pig,1.0,0.6666666666666666
130,editorial remove philosophical exemption vaccine requirement school entry michigan danger,0.0,1.0
131,even vaccine child still risk catching disease,0.0,0.6666666666666666
132,parent would longer able rely herd immunity protected child,1.0,1.0
133,honestly dont believe immunization passed new law starting year need specific shot get school,-1.0,1.0
134,study kid find link mmr vaccine autism,1.0,1.0
135,really mmr shot,-1.0,1.0
136,need vaccine death far guinea sierra leone alert,1.0,1.0
137,parent need get mmr booster shot claim vaccine cause autism disorder provenis,1.0,0.6666666666666666
138,pro safety doesnt make antivaxer make educated consumer,-1.0,0.3333333333333333
139,want immunity want,0.0,1.0
140,great info today esp reemerging measles antigluten fad ty,0.0,0.6666666666666666
141,chicken pox kid vaccinated nasty itchy spot small scar little beauty,1.0,0.6666666666666666
142,understanding could get individual shot instead combo vaccine safer,-1.0,0.3333333333333333
143,immunity baby immunity,0.0,0.6666666666666666
144,amp vaccine arent new social disease arent actually say mislabled,0.0,1.0
145,finally heard jenny mccarthy son autism apologize dead kid didnt get vaccine,1.0,0.6666666666666666
146,gate foundation pledge billion immunize poor child,1.0,0.6666666666666666
147,reading fb comment measles article great entertainment,0.0,1.0
148,eric holder forcing send baby start school illegals immunization shot,1.0,0.6666666666666666
149,aid n qhpv vaccine reduces risk cost among older hivpositive msm treated hgain,1.0,0.6666666666666666
150,isnt news talking measles wiped came back cuz dumbass ppl dont vaccinate kid,1.0,0.6666666666666666
151,also dont get flu vaccine know safe im letting rest school guinea pig vaccine,-1.0,1.0
152,mountain glorious day cherry blossom lunch w pal outside drive bellevue get mmr shot yay,0.0,0.6666666666666666
153,hmcheck wound may infection vaccine arent date may disease regardless bring vet,0.0,0.6666666666666666
154,partial agreement measles case result law large number coincidence medium obfuscation,0.0,1.0
155,theyre heeeere dc confirms case measles,0.0,0.6666666666666666
156,vaccinate kid,1.0,1.0
157,nice discussion vaccine kidney transplant recipient,0.0,1.0
158,last one vaccinate damn child swear god hear vaccination autism shit one time im going kill,1.0,1.0
159,wont say politically correct vaccinate kid get poliovirus idiot,1.0,1.0
160,omg day got drunk af pm wow mmr,0.0,1.0
161,gave adorable little asian kid piece chalk could draw chalkboard waiting immunization ate,0.0,0.6666666666666666
162,didnt get vaccinatedampwe survived smallpox measles mumps amppolioampsurvived dadnou didnt smallpoxyes ampi survived,-1.0,0.6666666666666666
163,njoying moment life,0.0,1.0
164,people vaccinate kid outbreak happen people think get autism educate,1.0,1.0
165,vaccinated kid yesterday rt flurelated pediatric death occur didnt get vaccine,1.0,1.0
166,measles outbreak vaccinate vaccinate,0.0,0.6666666666666666
167,stick science dont want measles back,1.0,1.0
168,wonder many measles case walking around heresure plenty sick candidate,0.0,1.0
169,people vaccinated truth parroting word context dont even understand bless heart cmon son,0.0,0.6666666666666666
170,r double blind study showing work,-1.0,1.0
171,yo mug nuff said,0.0,1.0
172,measles case ventura county prompt vaccination advisory two visitor europe suspected falling,1.0,0.6666666666666666
173,never understand parent dont get kid vaccinated,1.0,1.0
174,come pray mmr marian garden,0.0,1.0
175,watched mmr truck hit cat bastereds,0.0,1.0
176,dont know cause autism know vaccine dont,1.0,1.0
177,ask bump already shingle chicken pox measles,0.0,1.0
178,doubt immunity open lip truth lerner,0.0,1.0
179,injury amp death here article many simple google search,-1.0,1.0
180,whats increase reported measles tb past five year,0.0,1.0
181,baby die sickened bad vaccine south mexico mexico public health system suspended infant,0.0,0.6666666666666666
182,mmr x db deigner,0.0,1.0
183,say brooklyn biggie mogul present franchise liaison problem official video,0.0,1.0
184,measles case year high parent failing get child vaccinated,1.0,0.6666666666666666
185,worried outbreak local doctor answer question pm click,0.0,1.0
186,take toxin vaccine youll get cancer autism wont like hug,-1.0,1.0
187,ya ready con pala caravana de texas saludos un gran abrazo,0.0,1.0
188,pissed blood test see measles vaccine still good idiot parent dont vaccinate punished,1.0,1.0
189,taxpayer money wasted cdc canada come vaccine pitiful,0.0,1.0
190,mmr meet bliss thursday august,0.0,1.0
191,cant brother awful reaction friend child developed autism first vaccine,-1.0,1.0
192,s new department healthimmunizations,0.0,0.6666666666666666
193,important rt measles case california outbreak keep rising almost,1.0,0.6666666666666666
194,cat vomit toddler tantrum kindergarten party kid patching scrape amp writing measles amp religion,0.0,1.0
195,think day measles child concernedi yr old,0.0,1.0
196,aid vaccine created oregon health amp science university supposed completely clear virus system,1.0,1.0
197,parent warned vaccinating kid may turn gay via,-1.0,0.3333333333333333
198,need ask measles outbreak illegalswhere fit epidemic chainnear beginning,0.0,1.0
199,take kid playground amp get measles another parent wont get kid vaccinated im busting head,1.0,1.0
200,sb enroll providing immunity civil criminal liability certain health care provider performi,0.0,0.6666666666666666
201,gov christie parent choice whether vaccinate kid,0.0,0.6666666666666666
202,love like measles go also like measles take goodnight,0.0,1.0
203,father boy leukemia asks california school official bar unvaccinated student,1.0,0.6666666666666666
204,yes ill take vaccine amp please keep ur unvaccinated kid away mine go live ur paranoiafilled cave,1.0,0.6666666666666666
205,simple vaccinate kid end,1.0,1.0
206,new measles case confirmed san mateo marin county,0.0,1.0
207,dr nicole bates imagine global health policy system,1.0,1.0
208,yas argument medically necessary vaccinate child relies solely everyone else vaccinating,1.0,0.6666666666666666
209,pete carroll blew super bowl going im going disneyland catch measles,0.0,1.0
210,outbreak spread lower east side,0.0,1.0
211,california lawmaker aim limit vaccine exemption,1.0,1.0
212,get full disclosure measles kid whereabouts past week,0.0,0.6666666666666666
213,fuckn ball wit n whole mmr team hate leave got go next time im,0.0,1.0
214,survived amp lifetime natural immunity,0.0,1.0
215,measles outbreak az monitored locally health worker colorado monitoring development arizona,0.0,0.6666666666666666
216,autism family losing home click donate via vaccine injury,0.0,0.6666666666666666
217,taylees getting second round immunization today feel bad baby avera mcgreevy clinic west,1.0,0.6666666666666666
218,vaccine contain aluminum condition associated aluminum exposure,-1.0,1.0
219,jenny mccarthy get crucified twitter antivaccination belief get kid vaccinated,1.0,0.6666666666666666
220,part africa people vaccinated measles u,0.0,0.6666666666666666
221,vaccination work safe choice herd immunity fails people die idiot,1.0,1.0
222,girl first casserole inside ohh turn stuffed pepper courtesy mmr,0.0,1.0
223,im mmr station mount pleasant mi,0.0,1.0
224,remedy available citizen harmed due site hacking sue u gov sovereign immunity,0.0,1.0
225,childrens museum houston offer free vaccination,1.0,0.6666666666666666
226,case measles suspected baltimore county child baltimore county child tested measles visiting,0.0,1.0
227,apparently nasal spray live culture flu vaccination isnt going work desmond keep throwing poor baby,-1.0,0.3333333333333333
228,something super bowl katy perry vaccination katy perry giving child vaccine halftime idk stay relevant,0.0,1.0
229,scientist recall outbreak angelenos caught measles disease researcher worked,0.0,1.0
230,im emos death vaccine red river st e th st austin w others,0.0,1.0
231,watch volunteer risking life vaccinate child area held isi,1.0,1.0
232,im totally going disneyland ive measles vaccination line shorter,1.0,1.0
233,jesus didnt vaccinate neither kid dumbest thing ive ever heard,1.0,1.0
234,vaccination hope get measles,1.0,1.0
235,since im diabetic heart patient need take measles vaccine,0.0,0.6666666666666666
236,cdc coverage national immunization survey infographic vaccine,0.0,1.0
237,poor baby getting vaccine today home sweet home,1.0,1.0
238,flu vaccine small amount mercury bad build immune system healthy lifestyle,-1.0,0.6666666666666666
239,vaccination must requirement many infant vaccinated r u guy willing risk life,1.0,1.0
240,vaccine safe effective amp kid need booster,1.0,1.0
241,amnews new form vaccine offer promising result even recent type vaccine us harmless virus,0.0,0.6666666666666666
242,troubling hearing parent wont vaccinate child,1.0,1.0
243,everything home tuesday marjais meet w tyratonique host,0.0,1.0
244,seriously people get kid vaccinated like never understand people benefit way risk wayy,1.0,1.0
245,issue important vaccinate child take stage,1.0,1.0
246,finally getting immunization record school,1.0,0.6666666666666666
247,parent didnt get kid measles vaccination take hospital get,1.0,0.6666666666666666
248,nothing piss young mother know nothing microbiology immunology refusing vaccinate child,1.0,1.0
249,parent vaccinating kid feel free walk edge earth,1.0,1.0
250,thing know san diegos measles outbreak,0.0,1.0
251,measles outbreak bc ignorant parent refuse vax kid action reqd cdc allow child wo vac attend,1.0,1.0
252,today blocked autism parent support group nj vocal parent proponent vaccination,0.0,0.6666666666666666
253,bottom line vaccinate child guy,1.0,1.0
254,grandson pediatrician acknowledged vaccine injury amp provided waiver voluntarily receive vaccine,-1.0,1.0
255,say misting fly neighborhoodsamp mist vaccination kid outside ie playground ampbus stop,0.0,0.6666666666666666
256,dont vaccinate kid youre uneducated dumbass parent deserve charged child abuse,1.0,1.0
257,passed chex exam got vaccinated amp tested cant wait get uniformamp get placed,1.0,1.0
258,allow interrupt rq vaccine way shape form related autism,1.0,1.0
259,sb passed meningococcal diseasepupils immunized recommended age,0.0,0.6666666666666666
260,hah ha ha fucking vaccinate child,1.0,0.6666666666666666
261,miner fight field pregame learned fast,0.0,1.0
262,measles outbreak centered disneyland may declared friday measles outbreak started,0.0,1.0
263,stuffconz fear grows outbreak medical authority fear measles outbreak could spread hundred,1.0,0.6666666666666666
264,yup sky still blue icymi vaccine clearedagainin risk debate,1.0,1.0
265,im mmr station weidman mi,0.0,1.0
266,people disneyland measles outbreak unvaccinated fault claim propaganda,-1.0,0.6666666666666666
267,un stop syria vaccine campaign child die,-1.0,0.6666666666666666
268,jijijiji mmr acabo de ver tus tweet apenas,0.0,1.0
269,tarrant county confirms another measles case tarrant county another measles case,0.0,1.0
270,flu shot never proven protect getting flu vaccine company us scare tactic,-1.0,0.6666666666666666
271,dont act surprised gtyikes thousand bart commuter may exposed measles,1.0,0.6666666666666666
272,rtuser study find link immunization autism,1.0,1.0
273,epa know ppm fluoride killed million baby last yr toxic mix fluoride vaccine whistleblow,-1.0,1.0
274,reminder work health rightexercisevaccines protect others sick,1.0,0.6666666666666666
275,jim think worthy opponent dwight correct unless happen measles present,0.0,1.0
276,maybe woke measles,0.0,1.0
277,one mangeridden raccoon apparently w disease causing hair loss wild animal dont mange immunity,0.0,1.0
278,one country child missed vaccination tetanus one,1.0,1.0
279,got measles outbreak disney land,0.0,1.0
280,million pledge vaccinate world kid britain norway united state,1.0,0.6666666666666666
281,actual debate vaccinating kid nobrainer like calling running play halfyard line,1.0,1.0
282,measles mumps novella,0.0,1.0
283,yrold son autism would amp absolutely vaccinatedhis life worth healthy,1.0,1.0
284,vaccine cause autism,1.0,0.6666666666666666
285,someone got measles vaccine chance recurring poor kid got ear infection,-1.0,0.3333333333333333
286,vaccine important health need affordable better access implementation,1.0,1.0
287,previously vaccinated people antibody low get disease adult good,0.0,0.6666666666666666
288,health district offer nocost immunization uninsured child southern nevada health district,1.0,0.6666666666666666
289,saddest part dont keep crazy son autistic fheads like insult idiocy,1.0,0.6666666666666666
290,power truth rally year later trace amount documentary,-1.0,0.6666666666666666
291,vaccine give child opportunity live full potential,1.0,1.0
292,cancer vaccine proven safe,1.0,1.0
293,da homie posted club illusion,0.0,1.0
294,california measles outbreak grows,0.0,1.0
295,rtuser parent doctor politici stop measles whooping cough outbreak,1.0,0.6666666666666666
296,refuse vaccinate kid think increase risk developing autism really dumb real,1.0,1.0
297,turesday psa cdc say soap watergt running watergt hand sanitizer preventing spread disease wash yo handz get yo vaccine,1.0,0.6666666666666666
298,measles churro cart,0.0,0.6666666666666666
299,todaylouis pasteur successfully tested antirabies vaccine child later became pasteur institute director,1.0,0.6666666666666666
300,geeked start school unity,0.0,0.6666666666666666
301,guess got shot early cautious,0.0,0.6666666666666666
302,vaccinate kid doesnt want others,0.0,0.6666666666666666
303,putting kid risk theyre vaccinated dont fall propaganda,-1.0,0.6666666666666666
304,two thing arent even virus earth would vaccinate autism make sense,0.0,0.6666666666666666
305,two new case measles hit city two new case measles reported city raising total,0.0,1.0
306,average people complain live longer releasing tension increase immunity boost health,0.0,1.0
307,parent must vaccination child,1.0,1.0
308,outbreak spreading amp reignited vaccine debate side really brainervaccinate,1.0,0.6666666666666666
309,help please rt happymothering doctor change name disease vaccine work via,-1.0,0.6666666666666666
310,choked sip soda drank woman shoved told stop spreading measles thanks antivaccers,1.0,0.6666666666666666
311,ebola vaccine trial set begin september official world health organization said first,0.0,0.6666666666666666
312,historical amp scientific critique theory vaccine prevent amp lowered disease rate,-1.0,0.6666666666666666
313,figured crazy antiscience people running around unvaccinated time mmr,1.0,1.0
314,home safe mmr best ever well didnt go would know,0.0,1.0
315,baby girl got immunization today,1.0,0.6666666666666666
316,aid n patient hiv may need additional mmr immunization,0.0,1.0
317,vaccinate prevent death convenience,1.0,1.0
318,rt unvaccinated youre k time likely die win powerball,1.0,1.0
319,elb combo vaccine cause autism son elijah taken state wife diagnosed autism likel,-1.0,1.0
320,expert emphasize vaccination measles case spread,0.0,0.6666666666666666
321,age place working together save child,1.0,1.0
322,arizona pinal county health official confirm eight case measles total case confirmed,0.0,1.0
323,mighty mmr music money record,0.0,1.0
324,cuz time s law passed all school age kidsprego womenn infant b mandatory vaccinescoincidence nope,-1.0,0.3333333333333333
325,like imagine child coming home great time disney get measles like dude wtf,0.0,1.0
326,go away kid vaccinated try approaching people nicely might care say,1.0,1.0
327,measles outbreak need know,0.0,1.0
328,aaaaaaaand thats theyre called autism vaccine,0.0,0.6666666666666666
329,flu death cuyahoga cty vaccineseasy get amp free straight freegtgt chip medicaid amp medicare,1.0,1.0
330,cdc admitting omitting vaccine study data showing increased risk autism,-1.0,0.6666666666666666
331,fake like dying slow death wit vaccine real eternal healthy dose taken today,0.0,0.6666666666666666
332,spare vaccine necessary required,1.0,1.0
333,something dont get even vaccine cause autism dont would vaccinating ever preferable option,1.0,0.6666666666666666
334,im survivor chicken pox measles amp mumps sister,0.0,1.0
335,yall start thinkin crazy vaccination shot chicken pox measles shit,0.0,0.6666666666666666
336,esp mercury free vaccine available,1.0,0.6666666666666666
337,ohio measles outbreak biggest u since,0.0,1.0
338,get fucking baby vaccinated damn,1.0,1.0
339,yes chosen delayed schedule kid tweet thoughtsquestions,0.0,0.6666666666666666
340,teaching kiddos stay healthy winter immuniteaclove cinnamon make,0.0,0.6666666666666666
341,unfortunately way ppl r going realize vaccine r necessary child amp adult start dying preventable disease,1.0,1.0
342,make sure everybody get vaccinated checked money spread awareness disease cancer,1.0,1.0
343,thats always carry raincoatsometimes measles umbrella wont cut hope everything work,0.0,0.6666666666666666
344,autism vaccine,-1.0,1.0
345,vaccine injury compensation program,-1.0,0.6666666666666666
346,bad repubs cut cut cut budget cdc likely would vaccine ebola,1.0,0.6666666666666666
347,health district possible measles case reported near reno,0.0,1.0
348,whoever ebola vaccine going make lot money amp give thanks cdc,0.0,1.0
349,aid n child hiv often lack measles immunity half child infected hiv birth dont,0.0,0.6666666666666666
350,mississippi west virginia two state dont allow nonmedical vaccination exemption,-1.0,0.3333333333333333
351,people freaking ebola patient coming unmc worry afraid parent vaccinating kid,1.0,1.0
352,excited mmr bbq today going freaking awesome going ill see,0.0,1.0
353,political support crucial reach fifth child vaccine,0.0,0.6666666666666666
354,live world people dont vaccinate kid amp seriously debate thats ok take,1.0,1.0
355,aid n many cook might elusive secret ingredient hiv vaccine estimated close,1.0,0.6666666666666666
356,think disneyland started newlyvaccinated workersno news report dispelled theory,-1.0,0.3333333333333333
357,vaccinate freaking kid,1.0,1.0
358,ridiculous even let kid school dont want exposing kid vaccinated kid arent,1.0,0.6666666666666666
359,timely ny health dept measles patient boarded amtrak train penn station,0.0,0.6666666666666666
360,stop blaming first diseasesbrought ancestor,1.0,0.6666666666666666
361,vaccinate child unless doctor,-1.0,0.6666666666666666
362,child wo lifesaving vaccine pls change amp put summit agenda,1.0,1.0
363,know youre s kid vaccination mandatory nobody class got measles,1.0,1.0
364,amazing,0.0,1.0
365,pant fire rush blame outbreak child stupidity contagious,1.0,0.6666666666666666
366,mother kid autism believe vaccine nothing think autism overly diagnosed also,1.0,1.0
367,disney tie hide biggest measles risk adult catch bloomberg business,0.0,1.0
368,whenever encounter antivaccination person list thing likely cause autism would never give,1.0,1.0
369,dallas legislator want reduce vaccine exemption state rep jason villalba rdallas said goal,0.0,1.0
370,better measles,0.0,0.6666666666666666
371,tougher vaccination rule greet parent backtoschool time nears strict new rule state,1.0,0.6666666666666666
372,pretty sure headline parent taking unvaccinated child public linked measles outbreak,1.0,1.0
373,vaccinated baby hot yoga,1.0,0.6666666666666666
374,baby doesnt vaccinated neither yorkie,1.0,1.0
375,measles vaccine doesnt increase risk autism according study vaccine measles mumps rubella,1.0,0.6666666666666666
376,ended dead within hour vaccinated regardless study,-1.0,1.0
377,vaccine truth,0.0,0.6666666666666666
378,sadly id much rather child grow autism risk child fatal measles outbreak,1.0,1.0
379,measles outbreak make way ventura county,0.0,0.6666666666666666
380,mom love measles effect,0.0,0.6666666666666666
381,poison ivy vaccine id pay good money shit,1.0,0.6666666666666666
382,another milestone first set immunizationsbaby harper took shot like champ,1.0,1.0
383,rt attn america giving vaccine prevents cancer hpv way bad kid cont,1.0,0.6666666666666666
384,talk selfish stupidity cant believe one fraudulent doctor gotten u place vaccine feared sad,1.0,1.0
385,there way parent vaccinate kid,1.0,0.6666666666666666
386,would interesting know measles outbreak started illegals vaccinatedgood investigation required,1.0,0.6666666666666666
387,law order svu s e case measles aired living,0.0,1.0
388,everything carry risk benefit come higher form question asked,1.0,1.0
389,get kid vaccinated grow,1.0,1.0
390,major finding reduce risk stroke child via,1.0,1.0
391,measles case confirmed oakland county vaccination offered oakland county offer measles measles mumps,0.0,0.6666666666666666
392,child visiting marthas vineyard diagnosed measles child visiting marthas vineyard another state,0.0,1.0
393,im asking bring awareness hpv vaccine usually hpv harmless chance cause cervical cancer,1.0,0.6666666666666666
394,mango pain vaccine poor baby,0.0,0.6666666666666666
395,version link bio somage studio,0.0,1.0
396,letting nixon hook massive criminality granted kind sovereign immunity life historical ambiguity death,0.0,1.0
397,let send measles isi via illegals u,0.0,1.0
398,vaccination mandatory safety kid definitely safety others,1.0,1.0
399,here proof mmr measles vaccine insert say cause measles,-1.0,1.0
400,well aware danger measles nearly died age vaccinating child cruel,1.0,1.0
401,tell healthy adult forget flu vaccine,1.0,0.6666666666666666
402,around like ishh ya mmr,0.0,1.0
403,im suspicious vaccine wear way quicker current cdc guideline suggest,-1.0,0.6666666666666666
404,rt lion,0.0,0.6666666666666666
405,hey stupid liberalshear measles disease somalia cause kid arent vaccinated vaccine prevent disease cause autism,1.0,1.0
406,dont believe science dont believe evolution climate change gmo safety vaccine safety belief without evidence faith,1.0,0.6666666666666666
407,measles debate continues tnx svu,0.0,1.0
408,blame people vaccinating child reason different illness making come back,1.0,0.6666666666666666
409,waiting elderly woman mentally disabled kid bus stop padadena woman caused corrupt gov vaccination wtf,0.0,0.6666666666666666
410,nationalism infantile disease measles humanityeinstein true,0.0,1.0
411,baby first set vaccine hope become crazy today sorry sarai happen love u though,1.0,1.0
412,pfisd sup bringing flu vaccine kid areschool free,1.0,1.0
413,texan attending softball tournament kansa possibly exposed measles austin txap texas health,0.0,1.0
414,the flu vaccine first sign indoctrinated system flu vaccine worst live virus dead,-1.0,1.0
415,sun ra measles,0.0,1.0
416,hopefully kid sake thats norovirusbowlcut vaccine,1.0,0.6666666666666666
417,innovative action plan sept agenda european health minister,1.0,0.6666666666666666
418,average people complain live longer releasing tension increase immunity boost health,0.0,1.0
419,immunization record childrens doctor,0.0,1.0
420,crazy official still call parent vaccinate child st century,1.0,1.0
421,rt vital sign prevention shingle vaccine shown safe,1.0,0.6666666666666666
422,study hpv vaccine safe linked fainting skin infection,0.0,0.6666666666666666
423,baby boy got vaccine today cried little lollipop got whipped,1.0,0.6666666666666666
424,vaccinate child people thats fucking disgusting,1.0,1.0
